answer	qid
Louisiana was adversely affected by Hurricane Gustav.	blogs-03-1
the storm	blogs-03-2
Winds started kicking up.	blogs-03-3
the damage	blogs-03-4
in louisiana	blogs-03-5
in order	blogs-03-6
a neighborhood	blogs-03-7
to be	blogs-03-8
The narrator brought the family of the narrator to the house of the parent of the narrator.	blogs-03-9
the narrator	blogs-03-10
a neighborhood	blogs-03-11
the tree split	blogs-03-12
the narrator	blogs-03-13
the narrator	blogs-03-14
in an area	blogs-03-15
on a branch	fables-01-1
a crow	fables-01-2
the hue	fables-01-3
a fox	fables-01-4
A fox observed the crow and tried to discover how to get the cheese.	fables-01-5
the crow	fables-01-6
the crow	fables-01-7
the crow	fables-01-8
in the beak	fables-01-9
a crow	fables-01-10
a fox	fables-01-11
the fox	fables-01-12
the crow	fables-01-13
a lion	fables-02-1
the bull	fables-02-2
in a meadow	fables-02-3
the bull	fables-02-4
a lion	fables-02-5
the lion	fables-02-6
the world	fables-02-7
the world	fables-02-8
a lion	fables-02-9
The lion did n't attack the bull because the lion feared sharp every horn of the bull.	fables-02-10
the lion	fables-02-11
the world	fables-02-12
a lion	fables-02-13
to eat the bull	fables-02-14
the lion	fables-02-15
to remove every horn of the bull because every horn of the bull	fables-02-16
the lion	fables-02-17
the lion	fables-02-18
a summit meeting	blogs-01-1
a summit meeting	blogs-01-2
on a street	blogs-01-3
the people	blogs-01-4
the people	blogs-01-5
the people	blogs-01-6
the people	blogs-01-7
the people	blogs-01-8
the people	blogs-01-9
the leaders	blogs-01-10
the rioters	blogs-01-11
the rioters	blogs-01-12
the rioters	blogs-01-13
the police	blogs-01-14
the rioters	blogs-01-15
The people protested peacefully on a street.	blogs-01-16
the people	blogs-01-17
to alleviate the violence	blogs-01-18
a fox	fables-04-1
a fox	fables-04-2
The fox only served some soup in a flat and large dish.	fables-04-3
the fox	fables-04-4
the fox	fables-04-5
to be	fables-04-6
the stork	fables-04-7
to reach the tempting contents of the vessel	fables-04-8
the fox	fables-04-9
the stork	fables-04-10
the stork	fables-04-11
a clever fox	fables-04-12
the fox	fables-04-13
the young man	blogs-02-1
on the spot	blogs-02-2
Later, when I was visiting the place where he died, I decided to talk to him as if he were still there because I wanted him to know how bad I felt that I couldnt help him.	blogs-02-3
to talk	blogs-02-4
The narrator entered the house of the narrator and heard that the asleep family of the narrator was asleep.	blogs-02-5
a young man	blogs-02-6
the closest thing i	blogs-02-7
a young man	blogs-02-8
the narrator	blogs-02-9
